DATE,MRTSSM444USN
1992-01-01,8964
1992-02-01,9023
1992-03-01,10608
1992-04-01,11630
1992-05-01,12327
1992-06-01,12219
1992-07-01,11658
1992-08-01,11219
1992-09-01,11309
1992-10-01,11605
1992-11-01,10156
1992-12-01,10271
1993-01-01,8947
1993-02-01,9208
1993-03-01,11073
1993-04-01,12374
1993-05-01,13296
1993-06-01,13209
1993-07-01,12523
1993-08-01,12470
1993-09-01,12149
1993-10-01,12220
1993-11-01,11872
1993-12-01,11623
1994-01-01,9725
1994-02-01,9861
1994-03-01,12658
1994-04-01,13937
1994-05-01,15025
1994-06-01,14724
1994-07-01,13602
1994-08-01,14320
1994-09-01,13803
1994-10-01,13894
1994-11-01,12991
1994-12-01,12688
1995-01-01,11086
1995-02-01,10967
1995-03-01,13447
1995-04-01,13907
1995-05-01,15700
1995-06-01,15414
1995-07-01,14174
1995-08-01,14783
1995-09-01,13950
1995-10-01,14616
1995-11-01,13600
1995-12-01,12917
1996-01-01,11587
1996-02-01,11828
1996-03-01,13406
1996-04-01,15667
1996-05-01,16952
1996-06-01,16177
1996-07-01,16228
1996-08-01,15796
1996-09-01,14901
1996-10-01,16190
1996-11-01,14430
1996-12-01,13521
1997-01-01,12505
1997-02-01,12534
1997-03-01,15084
1997-04-01,17183
1997-05-01,18390
1997-06-01,17601
1997-07-01,17455
1997-08-01,16268
1997-09-01,16662
1997-10-01,17319
1997-11-01,14815
1997-12-01,15247
1998-01-01,13303
1998-02-01,13298
1998-03-01,16065
1998-04-01,18342
1998-05-01,19145
1998-06-01,19008
1998-07-01,18249
1998-08-01,17036
1998-09-01,17301
1998-10-01,17934
1998-11-01,16167
1998-12-01,16575
1999-01-01,13949
1999-02-01,14508
1999-03-01,17711
1999-04-01,19541
1999-05-01,20560
1999-06-01,20511
1999-07-01,19363
1999-08-01,19000
1999-09-01,18459
1999-10-01,18709
1999-11-01,18190
1999-12-01,17789
2000-01-01,15381
2000-02-01,16170
2000-03-01,19956
2000-04-01,20044
2000-05-01,23003
2000-06-01,21690
2000-07-01,19639
2000-08-01,20171
2000-09-01,18751
2000-10-01,19482
2000-11-01,17816
2000-12-01,16891
2001-01-01,15734
2001-02-01,15638
2001-03-01,18978
2001-04-01,22735
2001-05-01,25115
2001-06-01,22931
2001-07-01,21200
2001-08-01,21084
2001-09-01,18749
2001-10-01,20965
2001-11-01,19029
2001-12-01,17221
2002-01-01,16519
2002-02-01,15999
2002-03-01,19179
2002-04-01,24464
2002-05-01,25657
2002-06-01,23283
2002-07-01,22545
2002-08-01,21540
2002-09-01,20167
2002-10-01,21694
2002-11-01,19520
2002-12-01,17972
2003-01-01,17198
2003-02-01,15575
2003-03-01,20174
2003-04-01,24295
2003-05-01,25849
2003-06-01,25064
2003-07-01,24447
2003-08-01,22659
2003-09-01,22817
2003-10-01,23976
2003-11-01,20795
2003-12-01,20614
2004-01-01,18081
2004-02-01,17862
2004-03-01,24942
2004-04-01,28261
2004-05-01,28431
2004-06-01,28623
2004-07-01,26162
2004-08-01,25578
2004-09-01,25136
2004-10-01,24833
2004-11-01,24035
2004-12-01,23330
2005-01-01,20056
2005-02-01,19965
2005-03-01,26297
2005-04-01,29822
2005-05-01,31644
2005-06-01,30931
2005-07-01,27368
2005-08-01,28332
2005-09-01,27402
2005-10-01,27708
2005-11-01,26720
2005-12-01,24557
2006-01-01,23330
2006-02-01,22823
2006-03-01,29657
2006-04-01,31112
2006-05-01,34154
2006-06-01,31748
2006-07-01,28225
2006-08-01,29303
2006-09-01,26467
2006-10-01,27821
2006-11-01,25932
2006-12-01,23558
2007-01-01,21936
2007-02-01,20803
2007-03-01,27282
2007-04-01,28882
2007-05-01,34219
2007-06-01,30194
2007-07-01,28511
2007-08-01,28261
2007-09-01,25243
2007-10-01,27380
2007-11-01,25850
2007-12-01,22293
2008-01-01,20551
2008-02-01,20311
2008-03-01,23894
2008-04-01,28686
2008-05-01,31911
2008-06-01,29255
2008-07-01,28610
2008-08-01,25409
2008-09-01,25079
2008-10-01,25728
2008-11-01,21708
2008-12-01,20691
2009-01-01,17600
2009-02-01,17064
2009-03-01,21503
2009-04-01,24970
2009-05-01,26952
2009-06-01,26356
2009-07-01,24004
2009-08-01,21522
2009-09-01,21302
2009-10-01,21265
2009-11-01,19916
2009-12-01,19183
2010-01-01,15348
2010-02-01,15469
2010-03-01,21691
2010-04-01,26688
2010-05-01,26238
2010-06-01,25451
2010-07-01,23100
2010-08-01,21698
2010-09-01,21261
2010-10-01,21883
2010-11-01,21462
2010-12-01,20277
2011-01-01,16004
2011-02-01,16002
2011-03-01,21963
2011-04-01,24378
2011-05-01,27713
2011-06-01,27011
2011-07-01,23528
2011-08-01,23730
2011-09-01,22499
2011-10-01,23077
2011-11-01,22372
2011-12-01,21203
2012-01-01,17980
2012-02-01,18500
2012-03-01,24156
2012-04-01,25989
2012-05-01,29379
2012-06-01,25774
2012-07-01,23921
2012-08-01,24169
2012-09-01,22324
2012-10-01,24658
2012-11-01,23510
2012-12-01,21173
2013-01-01,19320
2013-02-01,18699
2013-03-01,23213
2013-04-01,28891
2013-05-01,32811
2013-06-01,27864
2013-07-01,27599
2013-08-01,26242
2013-09-01,24428
2013-10-01,26281
2013-11-01,24010
2013-12-01,22439
2014-01-01,19922
2014-02-01,19028
2014-03-01,24404
2014-04-01,30530
2014-05-01,33864
2014-06-01,30500
2014-07-01,29070
2014-08-01,26861
2014-09-01,26628
2014-10-01,27795
2014-11-01,25257
2014-12-01,24493
2015-01-01,21126
2015-02-01,19882
2015-03-01,26479
2015-04-01,31450
2015-05-01,33203
2015-06-01,31600
2015-07-01,30562
2015-08-01,27779
2015-09-01,27549
2015-10-01,28374
2015-11-01,26731
2015-12-01,26876
2016-01-01,21968
2016-02-01,23157
2016-03-01,29911
2016-04-01,32399
2016-05-01,34650
2016-06-01,34154
2016-07-01,30050
2016-08-01,29849
2016-09-01,28761
2016-10-01,28481
2016-11-01,28480
2016-12-01,26837
2017-01-01,23330
2017-02-01,23486
2017-03-01,30536
2017-04-01,32663
2017-05-01,37261
2017-06-01,35011
2017-07-01,31485
2017-08-01,31789
2017-09-01,30404
2017-10-01,31151
2017-11-01,30562
2017-12-01,27944
2018-01-01,24612
2018-02-01,24579
2018-03-01,31074
2018-04-01,33446
2018-05-01,39555
2018-06-01,36422
2018-07-01,34473
2018-08-01,33371
2018-09-01,30494
2018-10-01,33769
2018-11-01,31017
2018-12-01,28501
2019-01-01,27578
2019-02-01,24888
2019-03-01,30900
2019-04-01,35122
2019-05-01,38372
2019-06-01,34575
2019-07-01,34755
2019-08-01,33434
2019-09-01,30948
2019-10-01,33719
2019-11-01,30731
2019-12-01,29493
2020-01-01,27887
2020-02-01,27164
2020-03-01,33087
2020-04-01,36783
2020-05-01,43298
2020-06-01,43165
2020-07-01,40522
2020-08-01,37793
2020-09-01,38079
2020-10-01,38769
2020-11-01,35701
2020-12-01,35506
