DATE,MRTSSM44511USN
2001-01-01,31657
2001-02-01,29913
2001-03-01,33084
2001-04-01,31911
2001-05-01,34154
2001-06-01,33317
2001-07-01,33437
2001-08-01,33920
2001-09-01,32574
2001-10-01,33026
2001-11-01,33571
2001-12-01,35974
2002-01-01,32836
2002-02-01,30391
2002-03-01,34034
2002-04-01,31360
2002-05-01,34485
2002-06-01,32932
2002-07-01,33849
2002-08-01,34044
2002-09-01,31689
2002-10-01,32973
2002-11-01,33812
2002-12-01,34867
2003-01-01,33618
2003-02-01,30796
2003-03-01,33438
2003-04-01,33102
2003-05-01,35203
2003-06-01,33364
2003-07-01,35141
2003-08-01,34704
2003-09-01,32872
2003-10-01,34025
2003-11-01,34097
2003-12-01,35914
2004-01-01,34761
2004-02-01,32066
2004-03-01,34081
2004-04-01,34064
2004-05-01,35785
2004-06-01,34405
2004-07-01,36142
2004-08-01,34629
2004-09-01,34442
2004-10-01,35064
2004-11-01,35117
2004-12-01,38249
2005-01-01,35458
2005-02-01,32674
2005-03-01,36393
2005-04-01,35083
2005-05-01,36840
2005-06-01,36341
2005-07-01,37333
2005-08-01,36647
2005-09-01,35859
2005-10-01,36322
2005-11-01,36619
2005-12-01,39954
2006-01-01,35773
2006-02-01,33851
2006-03-01,36978
2006-04-01,36338
2006-05-01,38267
2006-06-01,37510
2006-07-01,38247
2006-08-01,38231
2006-09-01,36817
2006-10-01,37407
2006-11-01,38171
2006-12-01,41102
2007-01-01,37883
2007-02-01,35480
2007-03-01,38930
2007-04-01,37337
2007-05-01,40144
2007-06-01,39257
2007-07-01,39563
2007-08-01,39847
2007-09-01,38278
2007-10-01,39006
2007-11-01,40058
2007-12-01,42581
2008-01-01,40060
2008-02-01,38147
2008-03-01,40692
2008-04-01,39083
2008-05-01,42481
2008-06-01,40261
2008-07-01,41942
2008-08-01,41935
2008-09-01,39465
2008-10-01,41013
2008-11-01,41088
2008-12-01,42373
2009-01-01,41365
2009-02-01,36975
2009-03-01,39627
2009-04-01,40084
2009-05-01,42227
2009-06-01,40312
2009-07-01,41970
2009-08-01,41155
2009-09-01,39768
2009-10-01,41222
2009-11-01,40753
2009-12-01,43570
2010-01-01,41185
2010-02-01,38400
2010-03-01,41542
2010-04-01,40354
2010-05-01,42658
2010-06-01,40944
2010-07-01,42598
2010-08-01,41357
2010-09-01,40710
2010-10-01,41591
2010-11-01,41897
2010-12-01,44770
2011-01-01,42501
2011-02-01,39485
2011-03-01,43103
2011-04-01,43535
2011-05-01,44129
2011-06-01,43716
2011-07-01,44937
2011-08-01,44275
2011-09-01,42867
2011-10-01,43751
2011-11-01,44156
2011-12-01,46916
2012-01-01,43576
2012-02-01,42275
2012-03-01,45239
2012-04-01,43700
2012-05-01,46239
2012-06-01,45077
2012-07-01,45349
2012-08-01,45861
2012-09-01,44017
2012-10-01,44943
2012-11-01,45440
2012-12-01,47464
2013-01-01,45231
2013-02-01,42018
2013-03-01,46829
2013-04-01,43268
2013-05-01,47314
2013-06-01,45552
2013-07-01,46483
2013-08-01,46957
2013-09-01,44310
2013-10-01,46091
2013-11-01,46785
2013-12-01,48224
2014-01-01,47312
2014-02-01,43267
2014-03-01,46954
2014-04-01,46594
2014-05-01,49457
2014-06-01,47170
2014-07-01,48962
2014-08-01,48868
2014-09-01,46602
2014-10-01,48809
2014-11-01,48890
2014-12-01,50905
2015-01-01,49513
2015-02-01,45094
2015-03-01,48876
2015-04-01,47725
2015-05-01,50567
2015-06-01,48317
2015-07-01,50332
2015-08-01,49458
2015-09-01,47714
2015-10-01,49472
2015-11-01,48985
2015-12-01,51751
2016-01-01,49680
2016-02-01,46590
2016-03-01,49821
2016-04-01,48084
2016-05-01,50386
2016-06-01,49599
2016-07-01,50459
2016-08-01,49640
2016-09-01,48715
2016-10-01,49979
2016-11-01,50200
2016-12-01,53825
2017-01-01,50068
2017-02-01,46798
2017-03-01,51644
2017-04-01,50828
2017-05-01,52768
2017-06-01,51328
2017-07-01,52228
2017-08-01,52178
2017-09-01,51236
2017-10-01,51650
2017-11-01,52636
2017-12-01,56274
2018-01-01,52192
2018-02-01,48294
2018-03-01,54288
2018-04-01,50548
2018-05-01,54619
2018-06-01,52861
2018-07-01,53452
2018-08-01,53711
2018-09-01,51770
2018-10-01,52792
2018-11-01,53441
2018-12-01,56019
2019-01-01,54271
2019-02-01,48448
2019-03-01,53946
2019-04-01,52704
2019-05-01,55962
2019-06-01,54137
2019-07-01,55659
2019-08-01,56125
2019-09-01,52480
2019-10-01,54493
2019-11-01,55557
2019-12-01,57185
2020-01-01,55178
2020-02-01,52341
2020-03-01,70095
2020-04-01,61049
2020-05-01,64517
2020-06-01,60109
2020-07-01,62808
2020-08-01,60475
2020-09-01,58309
2020-10-01,60261
2020-11-01,60340
2020-12-01,63197
